pLivr,dateCreation,article_id,filiere,desiArticle,dPr,ctrPr,qteOrdre,prixCmd,prixNet,annee,mois,dateCRD,hierarchi3,hierarchi2,hie3_2,hie_filiere,pExp,paysClient,clientDesignation,clientLivr,Gest,AS,ZDis
0,2024-03-08,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,1,76.22,76.22,2024,8,2024-08-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2024-03-08,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,8,2024-08-20,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2024-05-03,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2024,8,2024-08-28,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-05-24,M531.18126.200.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,3,1594.92,531.64,2024,10,2024-10-15,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
3,2024-05-24,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,3,1594.92,531.64,2024,10,2024-10-31,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,,,20202,RQH,,Z4
0,2024-05-24,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,209.52,52.38,2024,10,2024-10-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-05-24,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2024,11,2024-11-25,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-05-24,M531.18129.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,162.64,40.66,2024,10,2024-10-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
3,2024-05-24,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,3,228.66,76.22,2024,10,2024-10-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-05-24,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,10,2024-10-10,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-07-29,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2024,11,2024-11-10,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-07-29,M531.18131.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,10,2024-10-03,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-07-29,M531.18131.001.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,152.44,76.22,2024,10,2024-10-03,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,,,20202,RQR,,Z4
0,2024-08-09,M531.18126.201.51,PE_SE_MEC,PLAQUE DOUBLEUR INTERNE,70,AEMAREC,3,1594.92,531.64,2025,1,2025-01-31,A400M,USINAGE,A400M-USINAGE,A400M-PE_SE_MEC,NX02,ES,Rhenus LTK Warehousing,22114,RQH,,Z4
0,2024-08-09,M531.18127.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,2,104.76,52.38,2025,1,2025-01-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
0,2024-08-09,M531.18128.000.51,PE_SE_TOLE,PLAQUETTE EQUIP PORTE ECROU,56,AEMAREC,4,159.0,39.75,2025,1,2025-01-31,A400M,TOLERIE,A400M-TOLERIE,A400M-PE_SE_TOLE,NX02,ES,Rhenus LTK Warehousing,22114,RQR,,Z4
